12.05,-0.75
13.31,0.75
14.68,2.25
16.09,0.75
17.43,-0.75
18.65,0.75
19.73,2.25
21.06,-2.25
22.40,-0.75
23.66,0.75
23.66,-0.75
25.02,0.75
25.02,-2.25
26.50,-2.25
28.01,2.25
28.01,-2.25
29.31,2.25
30.63,0.75
30.63,2.25
32.15,-0.75
33.41,-2.25
33.41,0.75
34.35,2.25
35.65,0.75
37.01,-0.75
38.36,-0.75
39.89,-0.75
41.19,2.25
41.19,0.75
42.71,2.25
43.93,-0.75
43.93,2.25
45.14,0.75
46.29,-2.25
46.29,2.25
48.30,0.75
49.60,2.25
49.60,-0.75
50.94,-2.25
51.75,-2.25
51.75,0.75
53.31,-2.25
54.44,2.25
55.68,2.25
56.64,0.75
56.64,-2.25
57.90,0.75
59.07,2.25
60.67,2.25
62.23,2.25
63.55,0.75
65.02,-0.75
66.39,-0.75
66.39,0.75
67.88,0.75
69.25,-2.25
69.25,-0.75
70.55,2.25
71.94,-2.25
73.30,-0.75
74.69,-0.75
76.10,0.75
77.55,-0.75
78.93,-2.25
80.34,0.75
81.69,-0.75
83.11,0.75
83.11,-0.75
84.48,-0.75
85.89,2.25
85.89,0.75
87.23,-2.25
88.58,2.25
88.58,0.75
90.05,2.25
91.56,-0.75
92.78,2.25
94.19,0.75
94.19,2.25
95.55,-0.75
96.94,-0.75
96.94,-2.25
98.26,-2.25
99.78,2.25
99.78,-2.25
101.27,-2.25
102.70,0.75
102.70,-2.25
104.15,0.75
105.49,2.25
105.49,-2.25
106.84,2.25
108.27,0.75
108.27,-2.25
109.61,0.75
111.02,-2.25
111.02,0.75
112.49,2.25
113.86,-0.75
113.86,-2.25
115.24,0.75
116.61,-0.75
116.61,0.75
117.99,-0.75
119.38,-2.25
119.38,-0.75
120.81,-0.75
122.18,-2.25
122.18,0.75
123.56,2.25
124.95,0.75
126.40,-0.75
127.74,-2.25
129.13,-2.25
130.47,2.25
131.95,0.75
133.35,-0.75
134.72,0.75,136.32
137.51,2.25,139.35
140.44,-0.75
140.44,2.25
141.70,-0.75
143.08,2.25
144.60,0.75
145.98,2.25
145.98,-0.75
147.31,-0.75
148.76,-0.75
148.76,0.75
150.34,2.25
151.53,-2.25
151.53,0.75
152.41,2.25
154.35,-0.75
155.63,-0.75
157.10,-2.25,158.51
159.87,0.75,161.83
162.75,0.75
163.97,0.75
165.48,-0.75
165.48,0.75
166.81,2.25
168.28,0.75
169.69,2.25
171.01,0.75
171.01,2.25
172.42,0.75,173.82
175.13,2.25
176.62,0.75
176.62,2.25
177.88,2.25
179.41,0.75
180.84,0.75,182.27
183.53,0.75,185.11
186.41,-0.75
187.67,2.25
187.67,0.75
188.99,2.25
190.53,0.75
191.87,-2.25
193.37,2.25
194.71,-2.25
196.16,0.75
197.44,-0.75
197.44,-2.25
198.87,-2.25
200.32,-2.25
200.32,-0.75
201.75,-2.25
203.29,2.25
203.29,-0.75
204.57,2.25
205.42,2.25,207.13
209.17,0.75,211.73
